单词,频率,是否在词库
students,71,NO
following,67,NO
directions,65,NO
children,63,NO
because,58,YES
according,53,NO
section,49,YES
paragraph,42,NO
american,42,NO
workers,39,NO
college,38,NO
reading,35,YES
parents,31,NO
different,30,YES
writing,30,NO
government,30,NO
between,29,YES
working,28,NO
percent,27,YES
companies,27,NO
through,27,YES
economic,27,YES
homework,27,NO
generation,27,YES
instead,25,YES
without,25,YES
housing,25,NO
federal,24,NO
questions,24,NO
university,24,YES
translation,24,YES
business,24,YES
important,24,NO
answers,23,NO
average,23,NO
problem,23,YES
against,23,NO
something,23,NO
another,22,YES
happiness,22,YES
research,21,YES
example,21,NO
history,20,YES
outside,20,YES
corporate,20,NO
numbered,19,NO
choosing,19,NO
conversation,19,YES
education,19,YES
information,19,YES
balance,19,YES
everyone,18,YES
themselves,18,YES
whether,18,YES
countries,18,NO
economy,18,YES
english,17,NO
products,17,NO
newspapers,17,NO
recession,17,YES
manufacturing,17,NO
attention,17,YES
spending,16,NO
researchers,16,NO
digital,16,NO
society,16,YES
landscape,16,YES
professor,16,YES
suggests,15,NO
quickly,15,NO
industry,15,YES
community,15,YES
approach,15,YES
increase,15,NO
comments,15,NO
believe,15,YES
greater,15,NO
however,15,YES
employment,15,YES
national,14,NO
generally,14,YES
learned,14,NO
decision,14,YES
actually,14,NO
success,14,YES
million,13,NO
significant,13,YES
financial,13,NO
americans,13,NO
science,13,YES
chinese,13,NO
address,13,YES
computer,13,YES
governments,13,NO
remember,13,YES
getting,13,NO
patents,13,NO
opportunities,13,NO
technology,13,YES
facebook,13,NO
possible,12,YES
probably,12,NO
consumers,12,NO
thinking,12,YES
results,12,NO
negative,12,YES
formation,12,NO
america,12,NO
popular,12,YES
insurance,12,YES
compared,12,NO
directors,12,NO
members,12,NO
competition,12,YES
considered,12,NO
believes,12,NO
emotional,12,NO
problems,11,NO
comprehension,11,YES
century,11,NO
particularly,11,NO
designed,11,NO
recently,11,NO
positive,11,YES
educational,11,NO
development,11,YES
control,11,NO
country,11,NO
translate,11,YES
meaning,11,YES
increasingly,11,NO
usually,11,YES
obesity,11,NO
workplace,11,NO
especially,11,NO
suppose,11,YES
studies,11,NO
machines,11,NO
electronic,11,NO
friends,11,NO
forests,11,NO
several,10,YES
political,10,YES
focused,10,NO
attitude,10,NO
aircraft,10,NO
efficiency,10,YES
california,10,NO
personal,10,YES
interpret,10,YES
businesses,10,NO
european,10,NO
efforts,10,NO
effective,10,YES
thought,10,YES
someone,10,YES
suitable,10,YES
looking,10,NO
individual,10,YES
authors,10,NO
ability,10,YES
serious,10,YES
emotions,10,NO
present,10,YES
younger,10,NO
training,10,NO
healthy,9,YES
available,9,YES
already,9,NO
although,9,YES
support,9,YES
influence,9,YES
pressure,9,NO
advertising,9,NO
certain,9,NO
require,9,YES
experience,9,NO
efficient,9,YES
security,9,YES
voluntary,9,YES
services,9,NO
improve,9,NO
president,9,YES
readers,9,NO
details,9,NO
choices,9,NO
academic,9,YES
culture,9,NO
perhaps,9,YES
advance,9,YES
universities,9,NO
immigration,9,NO
decisions,9,NO
management,9,NO
sometimes,9,YES
becomes,9,NO
machine,9,NO
changing,9,NO
activities,9,NO
climate,9,NO
opinions,9,NO
concept,8,YES
concerned,8,NO
billion,8,NO
together,8,YES
current,8,NO
special,8,YES
fashion,8,NO
factors,8,NO
decline,8,YES
creating,8,NO
decades,8,NO
started,8,NO
company,8,YES
selection,8,YES
service,8,NO
conditions,8,NO
defined,8,NO
internet,8,NO
complete,8,NO
threatened,8,NO
foreign,8,YES
failure,8,YES
schools,8,NO
leading,8,YES
manufacturers,8,NO
product,8,YES
responsibility,8,NO
environment,8,YES
achievement,8,YES
concern,8,YES
graduating,8,NO
learning,8,YES
feeling,8,YES
employers,8,NO
provide,8,YES
benefit,8,YES
yourself,8,YES
everything,8,YES
experiment,8,NO
meeting,7,YES
britain,7,NO
general,7,YES
numbers,7,NO
involved,7,NO
earlier,7,NO
passion,7,YES
industries,7,NO
mentioned,7,NO
appropriate,7,YES
nothing,7,NO
marriage,7,YES
account,7,YES
customers,7,NO
private,7,NO
corporations,7,NO
concerns,7,NO
including,7,NO
limited,7,YES
opinion,7,YES
increased,7,NO
contrast,7,YES
findings,7,NO
promote,7,YES
desperate,7,YES
developing,7,NO
physical,7,YES
otherwise,7,YES
inferred,7,NO
critical,7,NO
measures,7,NO
becoming,7,NO
situation,7,YES
associated,7,NO
chicago,7,NO
overall,7,YES
project,7,YES
population,7,YES
potential,7,YES
department,7,YES
surprising,7,YES
maintain,7,YES
advances,7,NO
marketing,7,YES
psychological,7,YES
continue,7,YES
despite,7,YES
difficult,7,NO
tolerant,7,YES
immigrants,7,NO
successful,7,YES
understanding,7,YES
challenges,7,NO
opportunity,7,YES
managing,7,NO
requires,7,NO
regular,7,YES
understand,7,YES
capacity,7,YES
policies,7,NO
planning,7,NO
process,7,YES
british,7,NO
obamacare,7,NO
relationship,7,YES
radesky,7,NO
curiosity,7,YES
weighing,7,NO
